ticker,company_name,sector,year,source_url_seed,status,notes
MSFT,Microsoft,Technology,2016,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded No reliable prior-year comparison. Clean text length: 12518. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, financial_performance_growth."
MSFT,Microsoft,Technology,2017,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Changed from prior usable year; similarity=0.780. Clean text length: 12912. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, financial_performance_growth."
MSFT,Microsoft,Technology,2018,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Changed from prior usable year; similarity=0.544. Clean text length: 6395. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing."
MSFT,Microsoft,Technology,2019,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.929. Clean text length: 6669. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,2020,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.959. Clean text length: 7175. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,2021,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.943. Clean text length: 8047. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, health_safety_wellbeing, financial_performance_growth."
MSFT,Microsoft,Technology,2022,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.957. Clean text length: 8342. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth."
MSFT,Microsoft,Technology,2023,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 3 candidate(s). downloaded Similar to prior usable year; similarity=0.973. Clean text length: 8590. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth."
MSFT,Microsoft,Technology,2024,https://news.microsoft.com/facts-about-microsoft/,success,"Selected usable candidate. Tried 1 candidate(s). downloaded Similar to prior usable year; similarity=0.940. Clean text length: 9022. URL score: 58. Page type: about_company_page. Themes: innovation, customer_focus, employees_culture, sustainability_environment, community_social_impact, financial_performance_growth."
AAPL,Apple,Technology,2016,https://www.apple.com/diversity/,review,"Selected usable candidate. Tried 1 candidate(s). downloaded No reliable prior-year comparison. Clean text length: 5654. URL score: 20. Page type: values_subpage. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact."
